"Source:","C:\Users\Kyle\Documents\KiCAD\MAX2769FT2232H\MAX2769FT2232H.sch"
"Date:","19/04/2021 06:03:07"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","95"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Digi-Key"
"","","C32","4.7 uF","MAX2769FT2232H:C","MAX2769FT2232H:C_0805_2012Metric","~","CAP CER 4.7UF 6.3V X7R 0805","399-15725-1-ND"
"","","C33","4.7 uF","MAX2769FT2232H:C","MAX2769FT2232H:C_0805_2012Metric","~","CAP CER 4.7UF 6.3V X7R 0805","399-15725-1-ND"
"","","C34","3.3 uF","MAX2769FT2232H:C","MAX2769FT2232H:C_0805_2012Metric","~","CAP CER 3.3UF 16V X7R 0805","490-13309-1-ND"
"","","C35","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C36","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C37","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C38","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C39","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C40","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C41","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C42","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C43","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C44","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C45","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C46","470 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 470PF 50V C0G/NP0 0402 10%","490-6242-1-ND"
"","","C47","10 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 10000PF 10V X7R 0402","399-7759-1-ND"
"","","C48","10 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 10000PF 10V X7R 0402","399-7759-1-ND"
"","","C49","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C50","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C51","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C52","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C53","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","FB1","Ferrite_Bead","MAX2769FT2232H:Ferrite_Bead","MAX2769FT2232H:L_0805_2012Metric","~","FERRITE BEAD 1 KOHM 0805 1LN","490-1041-1-ND"
"","","FB2","Ferrite_Bead","MAX2769FT2232H:Ferrite_Bead","MAX2769FT2232H:L_0805_2012Metric","~","FERRITE BEAD 1 KOHM 0805 1LN","490-1041-1-ND"
"","","H1","MountingHole_Pad","MAX2769FT2232H:MountingHole_Pad","MAX2769FT2232H:MountingHole_2.2mm_M2_Pad_Via","~","",""
"","","H2","MountingHole_Pad","MAX2769FT2232H:MountingHole_Pad","MAX2769FT2232H:MountingHole_2.2mm_M2_Pad_Via","~","",""
"","","H3","MountingHole_Pad","MAX2769FT2232H:MountingHole_Pad","MAX2769FT2232H:MountingHole_2.2mm_M2_Pad_Via","~","",""
"","","H4","MountingHole_Pad","MAX2769FT2232H:MountingHole_Pad","MAX2769FT2232H:MountingHole_2.2mm_M2_Pad_Via","~","",""
"","","J1","Conn_Coaxial","MAX2769FT2232H:Conn_Coaxial","MAX2769FT2232H:SMA_Amphenol_132203-12_Horizontal"," ~","CONN SMA JACK R/A 50 OHM PCB","ACX1232-ND"
"","","J2","USB_A","MAX2769FT2232H:USB_A","MAX2769FT2232H:USB_A_CNCTech_1001-011-01101_Horizontal"," ~","CONN PLUG USB2.0 TYPEA 4P SMD RA","WM3983CT-ND"
"","","J3","RF_Shield_One_Piece","MAX2769FT2232H:RF_Shield_One_Piece","MAX2769FT2232H:Laird_Technologies_BMI-S-103_26.21x26.21mm","~","RF SHIELD 1.032""X1.032"" SLDR 1PC","903-1008-1-ND"
"","","J4","Conn_Coaxial","MAX2769FT2232H:Conn_Coaxial","MAX2769FT2232H:MMCX_Molex_73415-1471_Vertical"," ~","CONN MMCX JACK STR 50 OHM PCB","ARF1904-ND"
"","","L1","33 nH","MAX2769FT2232H:L","MAX2769FT2232H:L_0402_1005Metric","~","FIXED IND 33NH 350MA 580 MOHM","490-2629-1-ND"
"","","R1","20k","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 20K OHM 1% 1/10W 0603","2019-RK73H1JTTD2002FCT-ND"
"","","R2","0","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 0 OHM JUMPER 0603","2019-RK73Z1JTTDCT-ND"
"","","R3","NC","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 0 OHM JUMPER 0603","2019-RK73Z1JTTDCT-ND"
"","","R4","0","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 0 OHM JUMPER 0603","2019-RK73Z1JTTDCT-ND"
"","","R5","0","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 0 OHM JUMPER 0603","2019-RK73Z1JTTDCT-ND"
"","","R6","NC","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 0 OHM JUMPER 0603","2019-RK73Z1JTTDCT-ND"
"","","R7","0","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 0 OHM JUMPER 0603","2019-RK73Z1JTTDCT-ND"
"","","R8","NC","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 0 OHM JUMPER 0603","2019-RK73Z1JTTDCT-ND"
"","","R9","NC","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 0 OHM JUMPER 0603","2019-RK73Z1JTTDCT-ND"
"","","R10","NC","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 0 OHM JUMPER 0603","2019-RK73Z1JTTDCT-ND"
"","","R11","0","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 0 OHM JUMPER 0603","2019-RK73Z1JTTDCT-ND"
"","","R12","2.2k","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 2.2K OHM 1% 1/10W 0603","2019-RK73H1JTTD2201FCT-ND"
"","","R13","1k","Device:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 1K OHM 1% 1/8W 0603","2019-RK73H1JTTD1001FCT-ND"
"","","R14","12k","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 12K OHM 1% 1/10W 0603","2019-RK73H1JTTD1202FCT-ND"
"","","R15","10k","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 10K OHM 1% 1/10W 0603","2019-RK73H1JTTD1002FCT-ND"
"","","R16","10k","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 10K OHM 1% 1/10W 0603","2019-RK73H1JTTD1002FCT-ND"
"","","R17","1k","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 1K OHM 1% 1/8W 0603","2019-RK73H1JTTD1001FCT-ND"
"","","R18","10k","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 10K OHM 1% 1/10W 0603","2019-RK73H1JTTD1002FCT-ND"
"","","U1","MAX2769ETI+T","MAX2769FT2232H:MAX2769ETI+T","MAX2769FT2232H:MAX2769ETI&plus_T","","RF RX GNSS 1575.42MHZ 28TQFN","MAX2769BETI/V+-ND"
"","","U2","TPS717285DCKR","MAX2769FT2232H:TPS717285DCKR","MAX2769FT2232H:TPS717285DCKR","","IC REG LINEAR 2.85V 150MA SC70-5","296-19649-1-ND"
"","","U3","TPS717285DCKR","MAX2769FT2232H:TPS717285DCKR","MAX2769FT2232H:TPS717285DCKR","","IC REG LINEAR 2.85V 150MA SC70-5","296-19649-1-ND"
"","","U4","NCP164CSN330T1G","MAX2769FT2232H:NCP164CSN330T1G","MAX2769FT2232H:TSOT-23-5","https://www.onsemi.com/pub/Collateral/NCP164C-D.PDF","LDO 300 MA AD 3.3V, ULTRA","488-NCP164CSN330T1GCT-ND"
"","","U5","93LC66BT-I_OT","MAX2769FT2232H:93LC66BT-I_OT","MAX2769FT2232H:93LC66BT-I&slash_OT","","IC EEPROM 4K SPI 2MHZ SOT23-6","93LC66BT-I/OTCT-ND"
"","","U6","FT2232H-Interface_USB","MAX2769FT2232H:FT2232H-Interface_USB","MAX2769FT2232H:LQFP-64_10x10mm_P0.5mm","","IC USB HS DUAL UART/FIFO 64-LQFP","768-1024-1-ND"
